almacen,estante,columna,nivel,categoria_ubicacion
006,DR0,BLI,100,
0DR,DR0,001,100,TB
0DR,DRS,001,100,
0DR,DRS,001,200,
0DR,DRS,001,300,
0DR,DRS,001,400,
0DR,DRS,001,500,
0DR,DRS,001,600,
0DR,MMM,001,100,
0DR,MMM,001,200,
0DR,MMM,001,300,
0DR,MMM,001,400,
0DR,MMM,001,500,
0DR,MMM,002,100,
0DR,MMM,002,200,
0DR,MMM,002,300,
0DR,MMM,002,400,
0DR,MMM,002,500,
0DR,MMM,003,100,
0DR,MMM,003,200,
0DR,MMM,003,300,
0DR,MMM,003,400,
0DR,MMM,003,500,
0DR,MMM,004,100,
0DR,MMM,004,200,
0DR,MMM,004,300,
0DR,MMM,004,400,
0DR,MMM,004,500,
0DR,MMM,005,100,
0DR,MMM,005,200,
0DR,MMM,005,300,
0DR,MMM,005,400,
0DR,MMM,005,500,
0DR,MMM,006,100,
0DR,MMM,006,200,
0DR,MMM,006,300,
0DR,MMM,006,400,
0DR,MMM,006,500,
0DR,MMM,007,100,
0DR,MMM,007,200,
0DR,MMM,007,300,
0DR,MMM,007,400,
0DR,MMM,007,500,
0DR,MMM,008,100,
0DR,MMM,008,200,
0DR,MMM,008,300,
0DR,MMM,008,400,
0DR,MMM,008,500,
0DR,MMM,009,100,
0DR,MMM,009,200,
0DR,MMM,009,300,
0DR,MMM,009,400,
0DR,MMM,009,500,
0DR,MMM,010,100,
0DR,MMM,010,200,
0DR,MMM,010,300,
0DR,MMM,010,400,
0DR,MMM,010,500,
0DR,MMM,011,100,
0DR,PAL,001,1,
0DR,PAL,001,2,
0DR,PAL,001,3,
0DR,PAL,001,4,
0DR,PAL,001,5,
0DR,PAL,001,6,
0DR,PAL,001,7,
0DR,PAL,001,8,
0DR,PAL,001,9,
0DR,PAL,001,10,
0DR,PAL,001,11,
0DR,PAL,001,12,
0DR,PAL,001,13,
0DR,PAL,001,14,
0DR,PAL,001,15,
0DR,PAL,001,16,
0DR,PAL,001,17,
0DR,PAL,001,18,
0DR,PAL,001,19,
0DR,PAL,001,20,
0DR,RP0,001,100,
CNT,CMS,001,100,TB
COL,AAA,001,100,TTP
COL,AAA,001,200,
COL,AAA,001,300,
COL,AAA,001,400,
COL,AAA,001,500,001
COL,AAA,002,100,MWA
COL,AAA,002,200,TTP
COL,AAA,002,300,TTP
COL,AAA,002,400,TTP
COL,AAA,002,500,DEO
COL,AAA,003,100,TTP
COL,AAA,003,200,001
COL,AAA,003,300,TTP
COL,AAA,003,400,TTP
COL,AAA,003,500,001
COL,AAA,004,100,MWA
COL,AAA,004,200,TTP
COL,AAA,004,300,TTP
COL,AAA,004,400,DEO
COL,AAA,004,500,TTP
COL,AAA,005,100,MWA
COL,AAA,005,200,TTP
COL,AAA,005,300,MWA
COL,AAA,005,400,
COL,AAA,005,500,001
COL,AAA,006,100,TTP
COL,AAA,006,200,MWA
COL,AAA,006,300,DEO
COL,AAA,006,400,TTP
COL,AAA,006,500,
COL,AAA,007,100,MWA
COL,AAA,007,200,
COL,AAA,007,300,
COL,AAA,007,400,TTP
COL,AAA,007,500,001
COL,AAA,008,100,TB
COL,AAA,008,200,INT
COL,AAA,008,300,
COL,AAA,008,400,DEO
COL,AAA,008,500,
COL,AAA,009,100,TB
COL,AAA,009,200,
COL,AAA,009,300,
COL,AAA,009,400,
COL,AAA,009,500,001
COL,AAA,010,100,TTP
COL,AAA,010,200,MWA
COL,AAA,010,300,
COL,AAA,010,400,TTP
COL,AAA,010,500,TTP
COL,AAA,011,100,TB
COL,AAA,011,200,
COL,AAA,011,300,
COL,AAA,011,400,TTP
COL,AAA,011,500,001
COL,AAA,012,100,TTP
COL,AAA,012,200,DEO
COL,AAA,012,300,BSO
COL,AAA,012,400,TTP
COL,AAA,012,500,BWA
COL,AAA,013,100,
COL,AAA,013,200,
COL,AAA,013,300,TTP
COL,AAA,013,400,MWA
COL,AAA,013,500,TTP
COL,AAA,014,200,
COL,AAA,014,300,
COL,AAA,014,400,
COL,AAA,014,500,DEO
COL,AAA,015,100,
COL,AAA,015,200,BWA
COL,AAA,015,300,
COL,AAA,015,400,
COL,AAA,015,500,BWA
COL,AAA,016,100,TTP
COL,AAA,016,200,TTP
COL,AAA,016,300,BSO
COL,AAA,016,400,MWA
COL,AAA,016,500,TTP
COL,AAA,017,100,
COL,AAA,017,200,TTP
COL,AAA,017,300,MWA
COL,AAA,017,400,
COL,AAA,017,500,TTP
COL,AAA,018,100,MWA
COL,AAA,018,200,DEO
COL,AAA,018,300,TTP
COL,AAA,018,400,MWA
COL,AAA,018,500,TTP
COL,AAA,019,100,TTP
COL,AAA,019,200,
COL,AAA,019,300,TTP
COL,AAA,019,400,TTP
COL,AAA,019,500,DEO
COL,AAA,020,100,INT
COL,AAA,020,200,TTP
COL,AAA,020,300,MWA
COL,AAA,020,400,BSO
COL,AAA,020,500,BWA
COL,AAA,021,100,
COL,AAA,021,200,BSO
COL,AAA,021,300,
COL,AAA,021,400,
COL,AAA,021,500,BSO
COL,AAA,021,600,DEO
COL,AAA,022,100,TB
COL,AAA,022,200,DEO
COL,AAA,022,300,LHW
COL,AAA,022,400,TTP
COL,AAA,022,500,TTP
COL,AAA,022,600,
COL,AAA,023,100,DEO
COL,AAA,023,200,
COL,AAA,023,300,MWA
COL,AAA,023,400,TTP
COL,AAA,023,500,
COL,AAA,023,600,TTP
COL,AAA,024,100,TB
COL,AAA,024,200,MWA
COL,AAA,024,300,TTP
COL,AAA,024,400,TTP
COL,AAA,024,500,
COL,AAA,024,600,
COL,AAA,025,100,MWA
COL,AAA,025,200,TTP
COL,AAA,025,300,MWA
COL,AAA,025,400,BSO
COL,AAA,025,500,TTP
COL,AAA,025,600,TTP
COL,AAA,026,100,TTP
COL,AAA,026,200,MWA
COL,AAA,026,300,
COL,AAA,026,400,MWA
COL,AAA,026,500,BWA
COL,AAA,026,600,
COL,AAA,027,100,TTP
COL,AAA,027,200,DEO
COL,AAA,027,300,MWA
COL,AAA,027,400,
COL,AAA,027,500,BWA
COL,AAA,027,600,INT
COL,AAA,028,100,BWA
COL,AAA,028,200,DEO
COL,AAA,028,300,TB
COL,AAA,028,400,MWA
COL,AAA,028,500,DEO
COL,AAA,028,600,
COL,AAA,029,100,TTP
COL,AAA,029,200,
COL,AAA,029,300,
COL,AAA,029,400,
COL,AAA,029,500,MWA
COL,AAA,029,600,
COL,AAA,030,100,
COL,AAA,030,200,DEO
COL,AAA,030,300,TB
COL,AAA,030,400,
COL,AAA,030,500,TTP
COL,AAA,030,600,
COL,AAA,031,100,DEO
COL,AAA,031,200,
COL,AAA,031,300,MWA
COL,AAA,031,400,TTP
COL,AAA,031,500,
COL,AAA,031,600,MWA
COL,AAA,032,100,DEO
COL,AAA,032,200,TTP
COL,AAA,032,300,
COL,AAA,032,400,TTP
COL,AAA,032,500,
COL,AAA,032,600,
COL,AAA,033,100,
COL,AAA,033,200,
COL,AAA,033,300,
COL,AAA,033,400,
COL,AAA,033,500,TTP
COL,AAA,033,600,DEO
COL,AAA,034,100,LHW
COL,AAA,034,200,DEO
COL,AAA,034,300,TTP
COL,AAA,034,400,DEO
COL,AAA,034,500,TB
COL,AAA,034,600,MWA
COL,AAA,035,100,TTP
COL,AAA,035,200,TTP
COL,AAA,035,300,DEO
COL,AAA,035,400,DEO
COL,AAA,035,500,TTP
COL,AAA,035,600,TTP
COL,AAA,036,100,MWA
COL,AAA,036,200,DEO
COL,AAA,036,300,TTP
COL,AAA,036,400,DEO
COL,AAA,036,500,
COL,AAA,036,600,
COL,AAA,037,100,TTP
COL,AAA,037,200,TTP
COL,AAA,037,300,
COL,AAA,037,400,MWA
COL,AAA,037,500,TTP
COL,AAA,037,600,TTP
COL,AAA,038,400,TTP
COL,AAA,038,500,TTP
COL,AAA,038,600,MWA
